t,d0_x,d0_y,d0_z,d0_zerr,d0_velxy,d0_arm,d0_nav,d0_mpc,d0_solve_ms,d0_fallback,d0_hover,d0_poserr,d1_x,d1_y,d1_z,d1_zerr,d1_velxy,d1_arm,d1_nav,d1_mpc,d1_solve_ms,d1_fallback,d1_hover,d1_poserr,min_spacing,formation_max_err,safety_violations,total_fallbacks,max_solve_ms,leader_x,leader_y,leader_vx,leader_vy
28.0,-23.417,-0.155,-4.974,0.026,0.467,2,14,0,0.276,0,0,42.962,-24.846,-0.009,-4.867,0.133,0.519,2,14,0,0.271,0,0,42.327,1.440,43.417,2,0,0.276,20.000,0.000,0.000,0.000
29.0,-22.679,-0.174,-5.002,-0.002,0.974,2,14,0,0.276,0,0,42.224,-24.082,0.012,-4.904,0.096,1.032,2,14,0,0.513,0,0,41.574,1.419,42.680,3,0,0.513,20.000,0.000,0.000,0.000
30.0,-21.383,-0.206,-4.984,0.016,1.516,2,14,0,0.290,0,0,40.928,-22.740,0.037,-4.906,0.094,1.570,2,14,0,0.575,0,0,40.240,1.381,41.384,4,0,0.575,20.000,0.000,0.000,0.000
31.0,-19.681,-0.272,-5.049,-0.049,2.020,2,14,0,0.572,0,0,39.226,-20.930,0.037,-4.901,0.099,2.101,2,14,0,0.224,0,0,38.437,1.295,39.682,5,0,0.572,20.000,0.000,0.000,0.000
32.0,-17.433,-0.334,-5.012,-0.012,2.559,2,14,0,0.351,0,0,36.978,-18.627,0.054,-4.988,0.012,2.624,2,14,0,0.370,0,0,36.141,1.255,37.435,6,0,0.370,20.000,0.000,0.000,0.000
33.0,-14.653,-0.321,-5.008,-0.008,3.101,2,14,0,0.386,0,0,34.198,-15.818,-0.037,-5.002,-0.002,3.152,2,14,0,0.224,0,0,33.342,1.199,34.655,7,0,0.386,20.000,0.000,0.000,0.000
34.0,-11.297,-0.267,-5.043,-0.043,3.656,2,14,0,0.287,0,0,30.871,-12.372,-0.036,-4.921,0.079,3.722,2,14,0,0.259,0,0,29.935,1.106,31.299,8,0,0.287,20.000,0.000,0.000,0.000
35.0,-7.319,-0.222,-4.999,0.001,4.236,2,14,0,0.241,0,0,26.899,-8.414,-0.008,-4.901,0.099,4.283,2,14,0,0.258,0,0,25.991,1.120,27.320,9,0,0.258,20.000,0.000,0.000,0.000
36.0,-2.806,-0.169,-4.973,0.027,4.816,2,14,0,0.306,0,0,22.350,-3.898,-0.008,-4.859,0.141,4.855,2,14,0,0.315,0,0,21.450,1.110,22.806,10,0,0.315,20.000,0.000,0.000,0.000
37.0,2.208,-0.240,-4.944,0.056,5.129,2,14,0,0.214,0,0,17.337,1.125,0.002,-4.851,0.149,5.142,2,14,0,0.203,0,0,16.432,1.114,17.794,11,0,0.214,20.000,0.000,0.000,0.000
38.0,7.240,-0.219,-4.947,0.053,5.139,2,14,0,0.215,0,0,12.345,6.269,0.032,-4.884,0.116,5.156,2,14,0,0.201,0,0,11.329,1.006,12.761,12,0,0.215,20.000,0.000,0.000,0.000
39.0,12.284,-0.162,-4.990,0.010,5.128,2,14,0,0.240,0,0,7.303,11.356,0.055,-4.909,0.091,5.121,2,14,0,0.231,0,0,6.240,0.957,7.717,13,0,0.240,20.000,0.000,0.000,0.000
40.0,17.386,-0.187,-5.016,-0.016,5.092,2,14,0,0.324,0,0,2.200,16.321,0.065,-4.923,0.077,5.033,2,14,0,0.316,0,0,1.273,1.098,2.620,14,0,0.324,20.000,0.000,0.000,0.000
41.0,22.263,-0.249,-5.041,-0.041,4.903,2,14,0,0.216,0,0,2.718,21.202,0.055,-4.937,0.063,4.838,2,14,0,0.175,0,0,3.612,1.109,4.202,15,0,0.216,20.000,0.000,0.000,0.000
