t_wall,drone,x,y,z,vx,vy,vz,vcmd_x,vcmd_y,vcmd_z,cmd_is_pos,cmd_age_s
1783579594.6614,3,0.1632,-0.0733,-0.6190,0.0330,0.1325,-1.0849,-0.0056,0.0901,-1.5000,0,0.0096
1783579594.6651,1,-0.0453,0.2170,-0.4166,-0.0415,0.1138,-1.0563,-0.0562,0.0636,-1.5000,0,0.0095
1783579594.6652,2,-0.0768,-0.1370,-0.3179,-0.0223,0.1012,-1.0417,-0.0273,0.0655,-1.5000,0,0.0198
1783579594.6652,4,-0.1267,0.2241,-0.2418,0.0557,0.0647,-1.0716,0.0152,0.0400,-1.5000,0,0.0002
1783579594.6692,0,-0.0132,-0.0371,-1.4087,0.0516,0.0877,-1.0314,0.0319,0.0632,-1.5000,0,0.0080
1783579594.6693,3,0.1644,-0.0716,-0.6297,0.0330,0.1335,-1.0852,-0.0056,0.0901,-1.5000,0,0.0176
1783579594.6734,1,-0.0455,0.2181,-0.4250,-0.0418,0.1142,-1.0575,-0.0562,0.0636,-1.5000,0,0.0178
1783579594.6735,2,-0.0778,-0.1361,-0.3269,-0.0228,0.1016,-1.0423,-0.0275,0.0657,-1.5000,0,0.0081
1783579594.6735,4,-0.1257,0.2245,-0.2504,0.0557,0.0650,-1.0730,0.0152,0.0400,-1.5000,0,0.0085
1783579594.6774,0,-0.0127,-0.0366,-1.4170,0.0515,0.0878,-1.0330,0.0319,0.0632,-1.5000,0,0.0161
1783579594.6775,3,0.1655,-0.0699,-0.6405,0.0329,0.1346,-1.0854,-0.0068,0.0912,-1.5000,0,0.0057
1783579594.6815,1,-0.0456,0.2191,-0.4333,-0.0421,0.1144,-1.0587,-0.0566,0.0634,-1.5000,0,0.0055
1783579594.6815,2,-0.0790,-0.1355,-0.3354,-0.0230,0.1019,-1.0427,-0.0275,0.0657,-1.5000,0,0.0162
1783579594.6816,4,-0.1248,0.2250,-0.2590,0.0556,0.0653,-1.0744,0.0152,0.0400,-1.5000,0,0.0166
1783579594.6852,0,-0.0123,-0.0361,-1.4253,0.0514,0.0879,-1.0345,0.0313,0.0631,-1.5000,0,0.0033
1783579594.6854,3,0.1666,-0.0682,-0.6511,0.0327,0.1355,-1.0855,-0.0068,0.0912,-1.5000,0,0.0136
1783579594.6893,2,-0.0801,-0.1348,-0.3439,-0.0232,0.1023,-1.0431,-0.0275,0.0659,-1.5000,0,0.0043
1783579594.6895,1,-0.0458,0.2202,-0.4416,-0.0424,0.1147,-1.0599,-0.0566,0.0634,-1.5000,0,0.0135
1783579594.6895,4,-0.1238,0.2254,-0.2676,0.0556,0.0655,-1.0758,0.0143,0.0403,-1.5000,0,0.0047
1783579594.6933,0,-0.0119,-0.0356,-1.4336,0.0512,0.0879,-1.0360,0.0313,0.0631,-1.5000,0,0.0114
1783579594.6934,3,0.1677,-0.0666,-0.6618,0.0326,0.1365,-1.0855,-0.0076,0.0917,-1.5000,0,0.0016
1783579594.6972,4,-0.1229,0.2259,-0.2763,0.0555,0.0658,-1.0770,0.0143,0.0403,-1.5000,0,0.0124
1783579594.6976,1,-0.0460,0.2213,-0.4500,-0.0426,0.1149,-1.0610,-0.0569,0.0632,-1.5000,0,0.0019
1783579594.6976,2,-0.0813,-0.1341,-0.3524,-0.0233,0.1026,-1.0435,-0.0275,0.0659,-1.5000,0,0.0126
1783579594.7012,0,-0.0114,-0.0351,-1.4420,0.0511,0.0879,-1.0375,0.0313,0.0631,-1.5000,0,0.0193
1783579594.7013,3,0.1688,-0.0649,-0.6723,0.0325,0.1373,-1.0855,-0.0076,0.0917,-1.5000,0,0.0095
1783579594.7054,4,-0.1219,0.2263,-0.2849,0.0555,0.0660,-1.0783,0.0136,0.0404,-1.5000,0,0.0003
1783579594.7055,1,-0.0462,0.2223,-0.4584,-0.0429,0.1151,-1.0622,-0.0569,0.0632,-1.5000,0,0.0098
1783579594.7056,2,-0.0824,-0.1335,-0.3609,-0.0234,0.1029,-1.0438,-0.0271,0.0660,-1.5000,0,0.0006
1783579594.7092,3,0.1698,-0.0632,-0.6828,0.0323,0.1381,-1.0853,-0.0076,0.0917,-1.5000,0,0.0174
1783579594.7093,0,-0.0110,-0.0346,-1.4503,0.0509,0.0879,-1.0389,0.0309,0.0630,-1.5000,0,0.0074
1783579594.7132,2,-0.0835,-0.1328,-0.3694,-0.0236,0.1031,-1.0441,-0.0271,0.0660,-1.5000,0,0.0082
1783579594.7134,1,-0.0465,0.2234,-0.4668,-0.0432,0.1153,-1.0633,-0.0569,0.0632,-1.5000,0,0.0177
1783579594.7134,4,-0.1210,0.2267,-0.2936,0.0554,0.0661,-1.0794,0.0136,0.0404,-1.5000,0,0.0083
1783579594.7173,3,0.1708,-0.0615,-0.6933,0.0322,0.1389,-1.0851,-0.0089,0.0921,-1.5000,0,0.0055
1783579594.7175,0,-0.0106,-0.0341,-1.4586,0.0508,0.0879,-1.0403,0.0309,0.0630,-1.5000,0,0.0156
1783579594.7214,2,-0.0846,-0.1321,-0.3779,-0.0237,0.1033,-1.0445,-0.0271,0.0660,-1.5000,0,0.0164
1783579594.7215,1,-0.0463,0.2241,-0.4760,-0.0430,0.1151,-1.0646,-0.0574,0.0627,-1.5000,0,0.0056
1783579594.7216,4,-0.1199,0.2278,-0.3028,0.0554,0.0670,-1.0808,0.0136,0.0404,-1.5000,0,0.0165
1783579594.7255,0,-0.0102,-0.0335,-1.4670,0.0506,0.0878,-1.0417,0.0302,0.0625,-1.5000,0,0.0037
1783579594.7255,3,0.1718,-0.0599,-0.7037,0.0320,0.1396,-1.0848,-0.0089,0.0921,-1.5000,0,0.0137
1783579594.7295,2,-0.0856,-0.1314,-0.3863,-0.0237,0.1034,-1.0448,-0.0264,0.0659,-1.5000,0,0.0041
1783579594.7296,1,-0.0462,0.2249,-0.4853,-0.0428,0.1150,-1.0660,-0.0574,0.0627,-1.5000,0,0.0137
1783579594.7297,4,-0.1188,0.2289,-0.3121,0.0553,0.0679,-1.0821,0.0126,0.0408,-1.5000,0,0.0049
1783579594.7334,0,-0.0097,-0.0330,-1.4753,0.0504,0.0877,-1.0430,0.0302,0.0625,-1.5000,0,0.0116
1783579594.7335,3,0.1728,-0.0582,-0.7141,0.0318,0.1403,-1.0845,-0.0097,0.0923,-1.5000,0,0.0019
1783579594.7377,2,-0.0866,-0.1307,-0.3948,-0.0238,0.1036,-1.0451,-0.0264,0.0659,-1.5000,0,0.0123
1783579594.7378,1,-0.0461,0.2256,-0.4945,-0.0425,0.1148,-1.0673,-0.0571,0.0620,-1.5000,0,0.0021
1783579594.7378,4,-0.1177,0.2300,-0.3213,0.0552,0.0688,-1.0834,0.0126,0.0408,-1.5000,0,0.0131
1783579594.7417,3,0.1738,-0.0565,-0.7244,0.0316,0.1409,-1.0840,-0.0097,0.0923,-1.5000,0,0.0100
1783579594.7418,0,-0.0093,-0.0325,-1.4837,0.0502,0.0876,-1.0443,0.0298,0.0621,-1.5000,0,0.0006
1783579594.7455,1,-0.0461,0.2264,-0.5037,-0.0423,0.1145,-1.0685,-0.0571,0.0620,-1.5000,0,0.0098
1783579594.7456,2,-0.0876,-0.1300,-0.4033,-0.0239,0.1036,-1.0454,-0.0259,0.0657,-1.5000,0,0.0003
1783579594.7457,4,-0.1166,0.2311,-0.3306,0.0551,0.0697,-1.0846,0.0118,0.0415,-1.5000,0,0.0006
1783579594.7497,3,0.1742,-0.0548,-0.7343,0.0309,0.1412,-1.0834,-0.0097,0.0923,-1.5000,0,0.0180
1783579594.7498,0,-0.0089,-0.0320,-1.4921,0.0500,0.0875,-1.0455,0.0298,0.0621,-1.5000,0,0.0086
1783579594.7537,4,-0.1155,0.2322,-0.3398,0.0549,0.0705,-1.0858,0.0118,0.0415,-1.5000,0,0.0085
