t,d0_x,d0_y,d0_z,d0_zerr,d0_velxy,d0_arm,d0_nav,d0_mpc,d0_solve_ms,d0_fallback,d0_hover,d0_poserr,min_spacing,formation_max_err,safety_violations,total_fallbacks,max_solve_ms,leader_x,leader_y,leader_vx,leader_vy
83.0,0.345,0.228,-5.004,-0.004,0.088,2,14,0,0.201,0,0,0.091,nan,0.413,0,0,0.201,0.000,0.000,0.000,0.000
84.0,0.267,0.280,-4.949,0.051,0.047,2,14,0,0.133,0,0,0.160,nan,0.387,0,0,0.133,0.000,0.000,0.000,0.000
85.0,0.317,0.194,-4.989,0.011,0.056,2,14,0,0.253,0,0,0.061,nan,0.372,0,0,0.253,0.000,0.000,0.000,0.000
86.0,0.247,0.153,-5.001,-0.001,0.048,2,14,0,0.129,0,0,0.093,nan,0.290,0,0,0.129,0.000,0.000,0.000,0.000
87.0,0.303,0.099,-5.018,-0.018,0.056,2,14,0,0.143,0,0,0.051,nan,0.319,0,0,0.143,0.000,0.000,0.000,0.000
88.0,0.332,0.107,-5.009,-0.009,0.030,2,14,0,0.146,0,0,0.030,nan,0.349,0,0,0.146,0.000,0.000,0.000,0.000
89.0,0.332,0.108,-4.982,0.018,0.031,2,14,0,0.135,0,0,0.029,nan,0.349,0,0,0.135,0.000,0.000,0.000,0.000
90.0,0.356,0.162,-5.017,-0.017,0.027,2,14,0,0.173,0,0,0.032,nan,0.392,0,0,0.173,0.000,0.000,0.000,0.000
91.0,0.391,0.142,-4.972,0.028,0.009,2,14,0,0.163,0,0,0.053,nan,0.416,0,0,0.163,0.000,0.000,0.000,0.000
92.0,0.386,0.069,-5.006,-0.006,0.024,2,14,0,0.132,0,0,0.083,nan,0.392,0,0,0.132,0.000,0.000,0.000,0.000
93.0,0.360,0.093,-4.947,0.053,0.042,2,14,0,0.154,0,0,0.049,nan,0.372,0,0,0.154,0.000,0.000,0.000,0.000
94.0,0.446,0.149,-4.945,0.055,0.042,2,14,0,0.126,0,0,0.108,nan,0.470,0,0,0.126,0.000,0.000,0.000,0.000
95.0,0.330,0.173,-5.031,-0.031,0.065,2,14,0,0.127,0,0,0.038,nan,0.373,0,0,0.127,0.000,0.000,0.000,0.000
96.0,0.287,0.115,-5.042,-0.042,0.034,2,14,0,0.129,0,0,0.055,nan,0.309,0,0,0.129,0.000,0.000,0.000,0.000
97.0,0.277,0.114,-5.008,-0.008,0.007,2,14,0,0.137,0,0,0.065,nan,0.299,0,0,0.137,0.000,0.000,0.000,0.000
98.0,0.282,0.130,-4.966,0.034,0.021,2,14,0,0.133,0,0,0.056,nan,0.311,0,0,0.133,0.000,0.000,0.000,0.000
99.0,0.349,0.122,-5.039,-0.039,0.041,2,14,0,0.124,0,0,0.017,nan,0.369,0,0,0.124,0.000,0.000,0.000,0.000
100.0,0.352,0.110,-4.979,0.021,0.024,2,14,0,0.120,0,0,0.029,nan,0.368,0,0,0.120,0.000,0.000,0.000,0.000
101.0,0.413,0.103,-5.024,-0.024,0.023,2,14,0,0.133,0,0,0.082,nan,0.426,0,0,0.133,0.000,0.000,0.000,0.000
102.0,0.349,0.154,-5.037,-0.037,0.042,2,14,0,0.153,0,0,0.020,nan,0.381,0,0,0.153,0.000,0.000,0.000,0.000
103.0,0.333,0.131,-5.004,-0.004,0.021,2,14,0,0.152,0,0,0.007,nan,0.358,0,0,0.152,0.000,0.000,0.000,0.000
104.0,0.315,0.164,-4.974,0.026,0.008,2,14,0,0.178,0,0,0.036,nan,0.355,0,0,0.178,0.000,0.000,0.000,0.000
105.0,0.297,0.133,-4.933,0.067,0.010,2,14,0,0.137,0,0,0.041,nan,0.326,0,0,0.137,0.000,0.000,0.000,0.000
106.0,0.362,0.168,-4.989,0.011,0.018,2,14,0,0.160,0,0,0.040,nan,0.399,0,0,0.160,0.000,0.000,0.000,0.000
107.0,0.353,0.168,-4.969,0.031,0.011,2,14,0,0.140,0,0,0.035,nan,0.391,0,0,0.140,0.000,0.000,0.000,0.000
108.0,0.302,0.156,-4.990,0.010,0.024,2,14,0,0.128,0,0,0.041,nan,0.340,0,0,0.128,0.000,0.000,0.000,0.000
109.0,0.248,0.110,-5.031,-0.031,0.023,2,14,0,0.162,0,0,0.093,nan,0.271,0,0,0.162,0.000,0.000,0.000,0.000
110.0,0.269,0.036,-5.079,-0.079,0.039,2,14,0,0.150,0,0,0.122,nan,0.271,0,0,0.150,0.000,0.000,0.000,0.000
111.0,0.316,0.071,-5.027,-0.027,0.060,2,14,0,0.164,0,0,0.069,nan,0.324,0,0,0.164,0.000,0.000,0.000,0.000
112.0,0.331,0.143,-5.007,-0.007,0.063,2,14,0,0.130,0,0,0.010,nan,0.361,0,0,0.130,0.000,0.000,0.000,0.000
113.0,0.297,0.171,-4.932,0.068,0.037,2,14,0,0.144,0,0,0.054,nan,0.342,0,0,0.144,0.000,0.000,0.000,0.000
114.0,0.321,0.172,-4.959,0.041,0.034,2,14,0,0.121,0,0,0.040,nan,0.364,0,0,0.121,0.000,0.000,0.000,0.000
115.0,0.389,0.158,-4.970,0.030,0.033,2,14,0,0.121,0,0,0.055,nan,0.420,0,0,0.121,0.000,0.000,0.000,0.000
116.0,0.447,0.148,-4.991,0.009,0.015,2,14,0,0.153,0,0,0.108,nan,0.470,0,0,0.153,0.000,0.000,0.000,0.000
117.0,0.421,0.175,-5.005,-0.005,0.044,2,14,0,0.128,0,0,0.092,nan,0.456,0,0,0.128,0.000,0.000,0.000,0.000
118.0,0.411,0.156,-4.965,0.035,0.056,2,14,0,0.149,0,0,0.075,nan,0.440,0,0,0.149,0.000,0.000,0.000,0.000
119.0,0.357,0.102,-4.972,0.028,0.074,2,14,0,0.155,0,0,0.039,nan,0.371,0,0,0.155,0.000,0.000,0.000,0.000
120.0,0.288,0.124,-5.089,-0.089,0.048,2,14,0,0.158,0,0,0.051,nan,0.314,0,0,0.158,0.000,0.000,0.000,0.000
121.0,0.227,0.149,-5.072,-0.072,0.021,2,14,0,0.162,0,0,0.112,nan,0.272,0,0,0.162,0.000,0.000,0.000,0.000
122.0,0.212,0.147,-4.996,0.004,0.038,2,14,0,0.149,0,0,0.128,nan,0.258,0,0,0.149,0.000,0.000,0.000,0.000
123.0,0.266,0.125,-4.918,0.082,0.074,2,14,0,0.162,0,0,0.073,nan,0.294,0,0,0.162,0.000,0.000,0.000,0.000
124.0,0.409,0.143,-4.965,0.035,0.083,2,14,0,0.161,0,0,0.070,nan,0.434,0,0,0.161,0.000,0.000,0.000,0.000
125.0,0.491,0.127,-5.008,-0.008,0.029,2,14,0,0.170,0,0,0.152,nan,0.507,0,0,0.170,0.000,0.000,0.000,0.000
126.0,0.511,0.152,-5.021,-0.021,0.042,2,14,0,0.123,0,0,0.173,nan,0.533,0,0,0.123,0.000,0.000,0.000,0.000
127.0,0.374,0.131,-5.002,-0.002,0.105,2,14,0,0.166,0,0,0.038,nan,0.397,0,0,0.166,0.000,0.000,0.000,0.000
128.0,0.230,0.146,-4.986,0.014,0.074,2,14,0,0.120,0,0,0.108,nan,0.273,0,0,0.120,0.000,0.000,0.000,0.000
129.0,0.146,0.128,-4.938,0.062,0.010,2,14,0,0.145,0,0,0.193,nan,0.194,0,0,0.145,0.000,0.000,0.000,0.000
130.0,0.237,0.215,-5.065,-0.065,0.072,2,14,0,0.143,0,0,0.128,nan,0.320,0,0,0.143,0.000,0.000,0.000,0.000
131.0,0.367,0.144,-5.031,-0.031,0.087,2,14,0,0.151,0,0,0.030,nan,0.394,0,0,0.151,0.000,0.000,0.000,0.000
132.0,0.407,0.088,-5.055,-0.055,0.039,2,14,0,0.165,0,0,0.084,nan,0.417,0,0,0.165,0.000,0.000,0.000,0.000
133.0,0.453,0.109,-4.995,0.005,0.013,2,14,0,0.122,0,0,0.118,nan,0.466,0,0,0.122,0.000,0.000,0.000,0.000
134.0,0.451,0.106,-5.006,-0.006,0.051,2,14,0,0.158,0,0,0.118,nan,0.464,0,0,0.158,0.000,0.000,0.000,0.000
135.0,0.353,0.133,-4.978,0.022,0.072,2,14,0,0.127,0,0,0.015,nan,0.378,0,0,0.127,0.000,0.000,0.000,0.000
136.0,0.288,0.197,-4.994,0.006,0.056,2,14,0,0.172,0,0,0.078,nan,0.348,0,0,0.172,0.000,0.000,0.000,0.000
137.0,0.302,0.211,-4.985,0.015,0.008,2,14,0,0.198,0,0,0.084,nan,0.369,0,0,0.198,0.000,0.000,0.000,0.000
138.0,0.296,0.168,-4.975,0.025,0.040,2,14,0,0.140,0,0,0.053,nan,0.341,0,0,0.140,0.000,0.000,0.000,0.000
139.0,0.309,0.105,-4.928,0.072,0.043,2,14,0,0.135,0,0,0.043,nan,0.326,0,0,0.135,0.000,0.000,0.000,0.000
140.0,0.344,0.145,-4.940,0.060,0.021,2,14,0,0.136,0,0,0.010,nan,0.373,0,0,0.136,0.000,0.000,0.000,0.000
141.0,0.436,0.186,-4.989,0.011,0.003,2,14,0,0.121,0,0,0.110,nan,0.474,0,0,0.121,0.000,0.000,0.000,0.000
142.0,0.420,0.106,-4.986,0.014,0.051,2,14,0,0.152,0,0,0.088,nan,0.433,0,0,0.152,0.000,0.000,0.000,0.000
143.0,0.318,0.023,-5.056,-0.056,0.055,2,14,0,0.116,0,0,0.115,nan,0.319,0,0,0.116,0.000,0.000,0.000,0.000
144.0,0.222,0.050,-5.027,-0.027,0.051,2,14,0,0.147,0,0,0.144,nan,0.228,0,0,0.147,0.000,0.000,0.000,0.000
145.0,0.201,0.110,-4.982,0.018,0.058,2,14,0,0.118,0,0,0.140,nan,0.229,0,0,0.118,0.000,0.000,0.000,0.000
146.0,0.260,0.167,-5.025,-0.025,0.085,2,14,0,0.165,0,0,0.085,nan,0.309,0,0,0.165,0.000,0.000,0.000,0.000
147.0,0.383,0.223,-4.976,0.024,0.079,2,14,0,0.162,0,0,0.097,nan,0.443,0,0,0.162,0.000,0.000,0.000,0.000
148.0,0.461,0.170,-4.985,0.015,0.049,2,14,0,0.163,0,0,0.126,nan,0.491,0,0,0.163,0.000,0.000,0.000,0.000
149.0,0.460,0.172,-5.004,-0.004,0.046,2,14,0,0.169,0,0,0.129,nan,0.492,0,0,0.169,0.000,0.000,0.000,0.000
150.0,0.396,0.097,-5.035,-0.035,0.076,2,14,0,0.152,0,0,0.070,nan,0.408,0,0,0.152,0.000,0.000,0.000,0.000
