t,d0_x,d0_y,d0_z,d0_zerr,d0_velxy,d0_arm,d0_nav,d0_mpc,d0_solve_ms,d0_fallback,d0_hover,d0_poserr,d0_planratio,d0_clipn,d1_x,d1_y,d1_z,d1_zerr,d1_velxy,d1_arm,d1_nav,d1_mpc,d1_solve_ms,d1_fallback,d1_hover,d1_poserr,d1_planratio,d1_clipn,d2_x,d2_y,d2_z,d2_zerr,d2_velxy,d2_arm,d2_nav,d2_mpc,d2_solve_ms,d2_fallback,d2_hover,d2_poserr,d2_planratio,d2_clipn,d3_x,d3_y,d3_z,d3_zerr,d3_velxy,d3_arm,d3_nav,d3_mpc,d3_solve_ms,d3_fallback,d3_hover,d3_poserr,d3_planratio,d3_clipn,d4_x,d4_y,d4_z,d4_zerr,d4_velxy,d4_arm,d4_nav,d4_mpc,d4_solve_ms,d4_fallback,d4_hover,d4_poserr,d4_planratio,d4_clipn,min_spacing,formation_max_err,safety_violations,total_fallbacks,max_solve_ms,leader_x,leader_y,leader_vx,leader_vy
144.0,17.889,-1.615,-4.983,0.017,0.058,2,14,0,0.322,0,0,0.166,0.5868,0,20.757,2.871,-5.206,-0.206,0.017,2,14,0,0.314,0,0,0.068,0.6995,0,20.939,-2.969,-5.433,-0.433,0.034,2,14,0,0.313,0,0,0.043,0.5794,0,22.809,-0.114,-5.273,-0.273,0.051,2,14,0,0.311,0,0,0.186,0.5966,0,17.499,1.482,-4.659,0.341,0.059,2,14,0,0.353,0,0,0.144,0.7010,0,3.137,0.349,0,0,0.353,20.000,0.000,0.000,0.000
145.0,17.892,-1.743,-4.988,0.012,0.099,2,14,0,0.328,0,0,0.072,0.5868,0,20.792,2.924,-5.193,-0.193,0.022,2,14,0,0.312,0,0,0.004,0.6995,0,20.947,-2.984,-5.402,-0.402,0.024,2,14,0,0.311,0,0,0.060,0.5794,0,22.839,-0.174,-5.317,-0.317,0.112,2,14,0,0.379,0,0,0.169,0.5966,0,17.596,1.600,-4.641,0.359,0.087,2,14,0,0.357,0,0,0.066,0.7010,0,3.323,0.320,0,0,0.379,20.000,0.000,0.000,0.000
146.0,17.841,-1.823,-5.006,-0.006,0.080,2,14,0,0.324,0,0,0.056,0.5868,0,20.775,2.980,-5.238,-0.238,0.017,2,14,0,0.310,0,0,0.057,0.6995,0,20.991,-2.977,-5.449,-0.449,0.036,2,14,0,0.306,0,0,0.089,0.5794,0,23.085,-0.178,-5.374,-0.374,0.127,2,14,0,0.322,0,0,0.109,0.5966,0,17.565,1.647,-4.642,0.358,0.034,2,14,0,0.316,0,0,0.123,0.7010,0,3.384,0.275,0,0,0.324,20.000,0.000,0.000,0.000
147.0,17.779,-1.870,-5.035,-0.035,0.039,2,14,0,0.329,0,0,0.112,0.5868,0,20.757,3.035,-5.177,-0.177,0.010,2,14,0,0.319,0,0,0.116,0.6995,0,20.994,-2.931,-5.409,-0.409,0.062,2,14,0,0.310,0,0,0.082,0.5794,0,23.163,-0.142,-5.326,-0.326,0.062,2,14,0,0.318,0,0,0.169,0.5966,0,17.580,1.622,-4.636,0.364,0.063,2,14,0,0.318,0,0,0.096,0.7010,0,3.406,0.249,0,0,0.329,20.000,0.000,0.000,0.000
148.0,17.794,-1.852,-5.047,-0.047,0.031,2,14,0,0.321,0,0,0.092,0.5868,0,20.808,3.000,-5.237,-0.237,0.052,2,14,0,0.506,0,0,0.077,0.6995,0,20.919,-2.947,-5.377,-0.377,0.058,2,14,0,0.497,0,0,0.015,0.5794,0,23.192,-0.124,-5.353,-0.353,0.054,2,14,0,0.317,0,0,0.197,0.5966,0,17.703,1.543,-4.688,0.312,0.077,2,14,0,0.316,0,0,0.074,0.7010,0,3.328,0.255,0,0,0.506,20.000,0.000,0.000,0.000
149.0,17.873,-1.791,-4.951,0.049,0.052,2,14,0,0.331,0,0,0.052,0.5868,0,20.820,2.952,-5.221,-0.221,0.055,2,14,0,0.271,0,0,0.037,0.6995,0,20.816,-2.926,-5.400,-0.400,0.046,2,14,0,0.317,0,0,0.098,0.5794,0,23.116,-0.113,-5.311,-0.311,0.115,2,14,0,0.321,0,0,0.122,0.5966,0,17.741,1.502,-4.668,0.332,0.036,2,14,0,0.321,0,0,0.119,0.7010,0,3.186,0.310,0,0,0.331,20.000,0.000,0.000,0.000
150.0,17.838,-1.729,-5.040,-0.040,0.047,2,14,0,0.328,0,0,0.039,0.5868,0,20.850,2.840,-5.221,-0.221,0.054,2,14,0,0.344,0,0,0.099,0.6995,0,20.835,-2.835,-5.358,-0.358,0.023,2,14,0,0.315,0,0,0.125,0.5794,0,23.002,-0.075,-5.283,-0.283,0.118,2,14,0,0.314,0,0,0.040,0.5966,0,17.731,1.520,-4.654,0.346,0.034,2,14,0,0.326,0,0,0.105,0.7010,0,3.210,0.289,0,0,0.344,20.000,0.000,0.000,0.000
151.0,17.833,-1.698,-5.007,-0.007,0.009,2,14,0,0.325,0,0,0.071,0.5868,0,20.776,2.804,-5.281,-0.281,0.028,2,14,0,0.307,0,0,0.122,0.6995,0,20.824,-2.807,-5.452,-0.452,0.050,2,14,0,0.312,0,0,0.158,0.5794,0,22.892,-0.042,-5.319,-0.319,0.076,2,14,0,0.363,0,0,0.124,0.5966,0,17.719,1.549,-4.655,0.345,0.065,2,14,0,0.325,0,0,0.090,0.7010,0,3.221,0.268,0,0,0.363,20.000,0.000,0.000,0.000
152.0,17.880,-1.731,-4.984,0.016,0.019,2,14,0,0.327,0,0,0.063,0.5868,0,20.744,2.901,-5.234,-0.234,0.059,2,14,0,0.431,0,0,0.059,0.6995,0,20.921,-2.874,-5.463,-0.463,0.086,2,14,0,0.315,0,0,0.061,0.5794,0,22.811,-0.068,-5.353,-0.353,0.036,2,14,0,0.331,0,0,0.190,0.5966,0,17.624,1.529,-4.712,0.288,0.076,2,14,0,0.315,0,0,0.014,0.7010,0,3.281,0.309,0,0,0.431,20.000,0.000,0.000,0.000
153.0,17.825,-1.751,-4.985,0.015,0.047,2,14,0,0.328,0,0,0.019,0.5868,0,20.803,2.942,-5.232,-0.232,0.052,2,14,0,0.314,0,0,0.018,0.6995,0,20.917,-2.959,-5.474,-0.474,0.070,2,14,0,0.404,0,0,0.026,0.5794,0,22.858,-0.157,-5.336,-0.336,0.085,2,14,0,0.321,0,0,0.143,0.5966,0,17.558,1.517,-4.674,0.326,0.051,2,14,0,0.400,0,0,0.075,0.7010,0,3.294,0.252,0,0,0.404,20.000,0.000,0.000,0.000
154.0,17.729,-1.827,-5.065,-0.065,0.036,2,14,0,0.321,0,0,0.110,0.5868,0,20.854,2.956,-5.226,-0.226,0.025,2,14,0,0.309,0,0,0.065,0.6995,0,20.949,-2.965,-5.394,-0.394,0.034,2,14,0,0.317,0,0,0.045,0.5794,0,22.914,-0.234,-5.280,-0.280,0.096,2,14,0,0.315,0,0,0.144,0.5966,0,17.531,1.540,-4.694,0.306,0.014,2,14,0,0.377,0,0,0.098,0.7010,0,3.366,0.249,0,0,0.377,20.000,0.000,0.000,0.000
155.0,17.770,-1.817,-5.026,-0.026,0.034,2,14,0,0.320,0,0,0.076,0.5868,0,20.846,2.945,-5.209,-0.209,0.010,2,14,0,0.344,0,0,0.054,0.6995,0,20.993,-3.019,-5.412,-0.412,0.005,2,14,0,0.310,0,0,0.117,0.5794,0,23.030,-0.226,-5.318,-0.318,0.109,2,14,0,0.341,0,0,0.117,0.5966,0,17.536,1.509,-4.602,0.398,0.039,2,14,0,0.311,0,0,0.099,0.7010,0,3.360,0.257,0,0,0.344,20.000,0.000,0.000,0.000
