t,d0_x,d0_y,d0_z,d0_zerr,d0_velxy,d0_arm,d0_nav,d0_mpc,d0_solve_ms,d0_fallback,d0_hover,d0_poserr,min_spacing,formation_max_err,safety_violations,total_fallbacks,max_solve_ms,leader_x,leader_y,leader_vx,leader_vy
40.0,-2.146,-14.684,-4.989,0.011,2.209,2,14,0,0.218,0,0,7.897,nan,7.940,0,0,0.218,-2.630,-6.759,1.014,1.105
41.0,-1.171,-12.469,-4.988,0.012,2.615,2,14,0,0.198,0,0,6.868,nan,6.908,0,0,0.198,-1.703,-5.582,0.837,1.245
42.0,-0.333,-9.827,-4.973,0.027,3.005,2,14,0,0.253,0,0,5.521,nan,5.583,0,0,0.253,-0.962,-4.279,0.642,1.356
43.0,0.189,-6.880,-5.004,-0.004,3.103,2,14,0,0.211,0,0,4.001,nan,4.046,0,0,0.211,-0.424,-2.880,0.432,1.436
44.0,0.487,-3.884,-5.020,-0.020,3.100,2,14,0,0.253,0,0,2.452,nan,2.536,0,0,0.253,-0.101,-1.417,0.213,1.485
45.0,0.646,-0.844,-5.039,-0.039,3.084,2,14,0,0.171,0,0,0.990,nan,1.126,0,0,0.171,-0.000,0.078,-0.012,1.500
46.0,0.547,2.070,-5.033,-0.033,2.915,2,14,0,0.230,0,0,0.666,nan,0.836,0,0,0.230,-0.124,1.572,-0.236,1.481
47.0,0.215,4.881,-4.929,0.071,2.763,2,14,0,0.200,0,0,1.922,nan,1.974,0,0,0.200,-0.470,3.030,-0.454,1.429
48.0,-0.409,7.419,-4.983,0.017,2.588,2,14,0,0.208,0,0,3.066,nan,3.063,0,0,0.208,-1.030,4.420,-0.663,1.346
49.0,-1.158,9.650,-5.037,-0.037,2.365,2,14,0,0.211,0,0,3.988,nan,3.990,0,0,0.211,-1.791,5.711,-0.857,1.231
50.0,-2.075,11.562,-4.994,0.006,2.162,2,14,0,0.206,0,0,4.742,nan,4.735,0,0,0.206,-2.737,6.873,-1.031,1.090
51.0,-3.287,13.190,-5.072,-0.072,2.024,2,14,0,0.455,0,0,5.369,nan,5.338,0,0,0.455,-3.845,7.882,-1.182,0.923
52.0,-4.805,14.434,-5.083,-0.083,1.896,2,14,0,0.255,0,0,5.767,nan,5.728,0,0,0.255,-5.092,8.713,-1.307,0.736
53.0,-6.282,15.398,-5.010,-0.010,1.708,2,14,0,0.199,0,0,6.100,nan,6.052,0,0,0.199,-6.449,9.348,-1.402,0.533
54.0,-7.774,15.945,-4.955,0.045,1.567,2,14,0,0.194,0,0,6.229,nan,6.172,0,0,0.194,-7.886,9.774,-1.466,0.317
55.0,-9.252,16.070,-4.993,0.007,1.523,2,14,0,0.222,0,0,6.155,nan,6.091,0,0,0.222,-9.371,9.980,-1.497,0.094
56.0,-10.736,15.777,-5.068,-0.068,1.612,2,14,0,0.201,0,0,5.883,nan,5.817,0,0,0.201,-10.869,9.962,-1.494,-0.130
57.0,-12.199,15.057,-5.025,-0.025,1.791,2,14,0,0.239,0,0,5.408,nan,5.339,0,0,0.239,-12.348,9.720,-1.458,-0.352
58.0,-13.654,13.917,-4.946,0.054,2.062,2,14,0,0.194,0,0,4.732,nan,4.658,0,0,0.194,-13.774,9.260,-1.389,-0.566
59.0,-14.977,12.290,-4.966,0.034,2.367,2,14,0,0.226,0,0,3.793,nan,3.701,0,0,0.226,-15.116,8.592,-1.289,-0.767
60.0,-16.261,10.144,-4.953,0.047,2.742,2,14,0,0.281,0,0,2.500,nan,2.414,0,0,0.281,-16.342,7.731,-1.160,-0.951
61.0,-17.347,7.520,-5.032,-0.032,3.015,2,14,0,0.176,0,0,0.923,nan,0.827,0,0,0.176,-17.426,6.697,-1.005,-1.114
62.0,-18.385,4.798,-4.973,0.027,2.876,2,14,0,0.197,0,0,0.668,nan,0.715,0,0,0.197,-18.344,5.512,-0.827,-1.252
63.0,-19.253,2.240,-4.978,0.022,2.662,2,14,0,0.260,0,0,1.907,nan,1.971,0,0,0.260,-19.074,4.203,-0.630,-1.361
64.0,-19.929,-0.113,-4.966,0.034,2.404,2,14,0,0.211,0,0,2.871,nan,2.932,0,0,0.211,-19.600,2.800,-0.420,-1.440
65.0,-20.263,-2.296,-5.029,-0.029,2.127,2,14,0,0.234,0,0,3.585,nan,3.647,0,0,0.234,-19.911,1.334,-0.200,-1.487
66.0,-20.301,-4.170,-5.003,-0.003,1.844,2,14,0,0.197,0,0,3.970,nan,4.019,0,0,0.197,-19.999,-0.162,0.024,-1.500
67.0,-20.172,-5.753,-4.975,0.025,1.565,2,14,0,0.197,0,0,4.052,nan,4.110,0,0,0.197,-19.862,-1.655,0.248,-1.479
68.0,-19.757,-6.970,-5.031,-0.031,1.328,2,14,0,0.201,0,0,3.815,nan,3.868,0,0,0.201,-19.504,-3.110,0.466,-1.426
69.0,-19.021,-7.878,-5.020,-0.020,1.179,2,14,0,0.252,0,0,3.326,nan,3.384,0,0,0.252,-18.933,-4.495,0.674,-1.340
70.0,-18.084,-8.434,-5.016,-0.016,1.123,2,14,0,0.199,0,0,2.594,nan,2.655,0,0,0.199,-18.161,-5.780,0.867,-1.224
71.0,-16.977,-8.618,-5.002,-0.002,1.164,2,14,0,0.206,0,0,1.623,nan,1.700,0,0,0.206,-17.205,-6.934,1.040,-1.081
72.0,-15.836,-8.427,-4.920,0.080,1.252,2,14,0,0.172,0,0,0.435,nan,0.555,0,0,0.172,-16.088,-7.933,1.190,-0.913
73.0,-14.612,-8.302,-5.051,-0.051,1.320,2,14,0,0.196,0,0,0.517,nan,0.504,0,0,0.196,-14.834,-8.754,1.313,-0.725
74.0,-13.192,-8.425,-5.031,-0.031,1.439,2,14,0,0.175,0,0,1.018,nan,0.993,0,0,0.175,-13.472,-9.378,1.407,-0.521
75.0,-11.520,-8.746,-4.945,0.055,1.572,2,14,0,0.179,0,0,1.139,nan,1.164,0,0,0.179,-12.032,-9.791,1.469,-0.305
76.0,-9.901,-9.304,-4.954,0.046,1.629,2,14,0,0.144,0,0,0.840,nan,0.937,0,0,0.144,-10.545,-9.985,1.498,-0.082
77.0,-8.324,-10.005,-5.019,-0.019,1.529,2,14,0,0.214,0,0,0.449,nan,0.725,0,0,0.214,-9.047,-9.955,1.493,0.143
78.0,-6.958,-10.504,-5.003,-0.003,1.320,2,14,0,0.210,0,0,0.817,nan,1.010,0,0,0.210,-7.570,-9.700,1.455,0.364
79.0,-5.712,-10.673,-4.969,0.031,1.217,2,14,0,0.184,0,0,1.392,nan,1.509,0,0,0.184,-6.148,-9.228,1.384,0.578
