t,d0_x,d0_y,d0_z,d0_zerr,d0_velxy,d0_arm,d0_nav,d0_mpc,d0_solve_ms,d0_fallback,d0_hover,d0_poserr,d1_x,d1_y,d1_z,d1_zerr,d1_velxy,d1_arm,d1_nav,d1_mpc,d1_solve_ms,d1_fallback,d1_hover,d1_poserr,min_spacing,formation_max_err,safety_violations,total_fallbacks,max_solve_ms,leader_x,leader_y,leader_vx,leader_vy
94.0,19.169,-0.305,-5.027,-0.027,0.025,2,14,0,0.149,0,0,0.054,16.685,0.276,-6.554,-1.554,0.069,2,14,0,0.178,0,0,0.104,2.973,0.886,0,0,0.178,20.000,0.000,0.000,0.000
95.0,19.170,-0.320,-4.989,0.011,0.018,2,14,0,0.178,0,0,0.043,16.801,0.306,-6.570,-1.570,0.085,2,14,0,0.179,0,0,0.045,2.916,0.890,0,0,0.179,20.000,0.000,0.000,0.000
96.0,19.167,-0.309,-4.973,0.027,0.020,2,14,0,0.171,0,0,0.052,16.803,0.379,-6.562,-1.562,0.048,2,14,0,0.149,0,0,0.054,2.931,0.888,0,0,0.171,20.000,0.000,0.000,0.000
97.0,19.238,-0.302,-5.046,-0.046,0.036,2,14,0,0.151,0,0,0.059,16.822,0.427,-6.624,-1.624,0.013,2,14,0,0.172,0,0,0.105,2.977,0.820,0,0,0.172,20.000,0.000,0.000,0.000
98.0,19.298,-0.381,-4.997,0.003,0.030,2,14,0,0.178,0,0,0.102,16.781,0.453,-6.594,-1.594,0.030,2,14,0,0.149,0,0,0.117,3.096,0.799,0,0,0.178,20.000,0.000,0.000,0.000
99.0,19.266,-0.334,-4.977,0.023,0.036,2,14,0,0.179,0,0,0.066,16.754,0.367,-6.554,-1.554,0.065,2,14,0,0.148,0,0,0.034,3.048,0.806,0,0,0.179,20.000,0.000,0.000,0.000
100.0,19.162,-0.277,-4.974,0.026,0.056,2,14,0,0.183,0,0,0.080,16.752,0.306,-6.541,-1.541,0.054,2,14,0,0.184,0,0,0.034,2.933,0.883,0,0,0.184,20.000,0.000,0.000,0.000
101.0,19.139,-0.305,-4.996,0.004,0.034,2,14,0,0.147,0,0,0.076,16.778,0.257,-6.573,-1.573,0.021,2,14,0,0.148,0,0,0.080,2.895,0.913,0,0,0.148,20.000,0.000,0.000,0.000
102.0,19.128,-0.322,-4.988,0.012,0.035,2,14,0,0.150,0,0,0.079,16.842,0.282,-6.578,-1.578,0.020,2,14,0,0.182,0,0,0.092,2.849,0.930,0,0,0.182,20.000,0.000,0.000,0.000
103.0,19.196,-0.377,-4.987,0.013,0.047,2,14,0,0.146,0,0,0.030,16.844,0.351,-6.542,-1.542,0.046,2,14,0,0.178,0,0,0.078,2.912,0.888,0,0,0.178,20.000,0.000,0.000,0.000
104.0,19.178,-0.412,-5.049,-0.049,0.034,2,14,0,0.150,0,0,0.069,16.837,0.367,-6.591,-1.591,0.051,2,14,0,0.149,0,0,0.075,2.910,0.920,0,0,0.150,20.000,0.000,0.000,0.000
